Garden Latitude,Garden Longitude,Kind,fracDate Collected,Country
42.29818499,-71.12600348,pine,,
42.29857821,-71.12459876,,,
42.29679374,-71.12691151,yew,,
42.29647051,-71.1262191,hemlock,,
42.29961705,-71.12260948,,1918.49863014,"Korea, Republic of"
42.29193163,-71.1262833,maidenhair-tree,1989.77260274,China
42.30447752,-71.122016,tree,1919.49863014,Japan
42.29913597,-71.12475001,,,China
42.30442792,-71.1214817,,,
42.2968289,-71.12905626,maidenhair-tree,1989.78082192,China
42.29837086,-71.12184307,beech,,United States
42.29692486,-71.12840094,larch,,
42.29484557,-71.12956878,fir,1986.73972603,Japan
42.30224053,-71.1247296,birch,1976.6557377,Japan
42.29460606,-71.12950644,fir,1986.73150685,Japan
42.29645965,-71.12625612,hemlock,,
42.29518047,-71.12441889,pear,1918.49863014,Japan
42.29360577,-71.12482373,,,
42.29647112,-71.1264076,hemlock,,
42.29658439,-71.1266435,hemlock,,
42.29301872,-71.1299188,cypress,1984.53825137,United States
42.29300511,-71.12994931,cypress,1984.53825137,United States
42.29300653,-71.1299178,cypress,1984.53825137,United States
42.2937616,-71.12921399,fir,,United Kingdom
42.29379592,-71.12922075,fir,,United Kingdom
42.30301242,-71.12244718,maple,,
42.29894762,-71.12454944,,,China
42.29631488,-71.12646027,hemlock,,
42.29654068,-71.1267029,hemlock,,
42.29318772,-71.12835307,zelkova,,
42.29519574,-71.12597085,,1919.49863014,Japan
42.30402377,-71.12258696,linden,,
42.29633933,-71.1263862,hemlock,,
42.29817731,-71.1244184,juniper,,
42.29960885,-71.12286091,,1989.79452055,
42.29917798,-71.12159156,,1989.77808219,China
42.3008996,-71.12200477,,,
42.2971853,-71.12941017,pine,1990.76712329,Mexico
42.29643526,-71.12634867,hemlock,,
42.29880483,-71.12106986,,1989.77260274,China
42.29643536,-71.12638194,hemlock,,
42.29644348,-71.12634493,hemlock,,
42.30604901,-71.12135288,stewartia,,
42.2946378,-71.12319196,oak,,
42.30185975,-71.11675598,pine,,
42.30574424,-71.12199049,linden,1919.49863014,Japan
42.30671517,-71.12004508,cypress,,United States
42.29327119,-71.12830811,pear,1919.49863014,Japan
42.29691602,-71.12688651,yew,,
42.29636186,-71.12656349,hemlock,,
42.29836093,-71.12542384,,1989.77808219,China
42.2988311,-71.12515444,lebanon,,
42.30241976,-71.1209451,yellow-wood,1919.49863014,Japan
42.29801666,-71.12400885,redcedar,2006.2109589,United States
42.29801664,-71.12408158,redcedar,2006.2109589,United States
42.2939515,-71.12345825,poplar,,United States
42.29635006,-71.12630852,hemlock,,
42.29804372,-71.12601549,pine,,
42.29819653,-71.12552742,cedar,,
42.29354364,-71.12871701,hornbeam,,
42.2976439,-71.12840888,spruce,,
42.29636379,-71.12631213,hemlock,,
42.30310068,-71.12233284,maple,1919.49863014,Japan
42.29636372,-71.12628995,hemlock,,
42.30115092,-71.12130408,catalpa,,
42.30109058,-71.12463503,walnut,,
42.2936484,-71.12812701,maackia,,
42.29759719,-71.12919702,spruce,,
42.29630555,-71.12612396,hemlock,,
42.29637495,-71.12636751,hemlock,,
42.29629436,-71.1260575,hemlock,,
42.29217172,-71.12511902,larch,2000.5,United States
42.2947345,-71.12326042,oak,,
42.301389,-71.12485911,walnut,,
42.29338676,-71.12886005,arborvitae,,
42.29342532,-71.12870348,arborvitae,,
42.29687794,-71.12917004,larch,,Japan
42.29638245,-71.12614199,hemlock,,
42.29644,-71.12611948,hemlock,,
42.30093878,-71.12111689,,,
42.2967344,-71.126358,hemlock,,
42.29249697,-71.12556437,oak,,
42.30414082,-71.11997757,serviceberry,,
42.29625556,-71.12593945,hemlock,,
42.29142733,-71.12736228,maidenhair-tree,1989.76712329,China
42.29600864,-71.13363358,maidenhair-tree,1989.76712329,China
42.29232429,-71.12791639,oak,,
42.29685261,-71.12642384,hemlock,,
42.29758856,-71.12871793,spruce,,
42.29670114,-71.1262584,hemlock,,
42.29358591,-71.12668069,mountain-ash,,
42.29660213,-71.12618875,hemlock,,
42.3018088,-71.11685958,pine,,
42.29214806,-71.12652453,maidenhair-tree,,China
42.29836263,-71.12882636,spruce,,
42.3060352,-71.12194561,,,
42.29561652,-71.13228418,maidenhair-tree,,China
42.29640933,-71.12681456,hemlock,,
42.29668469,-71.12626219,hemlock,,
42.29899055,-71.12806604,spruce,1911.08767123,China
42.29531462,-71.1236147,oak,,
42.29671218,-71.12627681,hemlock,,
42.29672283,-71.12617695,hemlock,,
42.29846644,-71.12338603,hornbeam,,Japan
42.29928444,-71.1280393,pine,2006.2109589,United States
42.29865841,-71.12824756,pine,1918.49863014,"Korea, Republic of"
42.29935932,-71.12368465,oak,1991.74794521,United States
42.29668772,-71.12635089,hemlock,,
42.30125046,-71.1202543,lilac,,Japan
42.30276453,-71.12255564,zelkova,,
42.29776643,-71.12885401,spruce,,
42.30687989,-71.12160041,cedar,,India
42.29478304,-71.1350018,larch,,
42.29472327,-71.13505612,larch,,
42.29481933,-71.13509707,larch,,
42.29498576,-71.13475096,larch,,
42.29492739,-71.13481947,larch,,
42.29494574,-71.13491655,larch,,
42.29494265,-71.13501027,larch,,
42.29487976,-71.13509006,larch,,
42.2947933,-71.13503273,larch,,
42.29681318,-71.12611358,hemlock,,
42.29687667,-71.12622779,hemlock,,
42.29639444,-71.12671154,hemlock,,
42.29217849,-71.12611317,maidenhair-tree,,China
42.29215686,-71.12620228,maidenhair-tree,,China
42.29830805,-71.12845198,spruce,,
42.29603487,-71.13255501,hemlock,2009.49863014,United States
42.30166563,-71.11693546,pine,,
42.29674747,-71.12615833,hemlock,,
42.29478051,-71.13516521,larch,,
42.29520302,-71.13474468,larch,,
42.29498675,-71.13478296,larch,,
42.2948799,-71.13502301,larch,,
42.29485887,-71.13491663,larch,,
42.29485575,-71.13488538,larch,,
42.29484987,-71.13504626,larch,,
42.29480925,-71.13503157,larch,,
42.29421922,-71.12928716,,,
42.29689862,-71.12622767,hemlock,,
42.29524007,-71.12345724,hickory,,
42.29198078,-71.12644592,maidenhair-tree,,China
42.29932061,-71.12441077,oak,1978.85753425,Japan
42.29681377,-71.1262947,hemlock,,
42.29680014,-71.12632435,hemlock,,
42.30145688,-71.12147549,lilac,,
42.29958697,-71.11933613,pear,1918.49863014,Japan
42.29418094,-71.12850727,hawthorn,,
42.29688253,-71.12634235,hemlock,,
42.30272229,-71.12307701,hackberry,,
42.29933555,-71.12361932,oak,1991.74794521,United States
42.29691265,-71.12632369,hemlock,,
42.29688824,-71.12641254,hemlock,,
42.29898613,-71.12263089,maidenhair-tree,1989.77808219,China
42.29669266,-71.12618083,hemlock,,
42.29667069,-71.12617726,hemlock,,
42.29668415,-71.12609586,hemlock,,
42.29858166,-71.12710791,pine,1919.07945205,Japan
42.29784604,-71.12540062,pine,,
42.30002036,-71.12432118,oak,,United States
42.29841279,-71.12470988,yew,,
42.2949857,-71.12974362,pine,1919.07945205,Japan
42.29450996,-71.13016572,pine,1919.07945205,Japan
42.29475662,-71.13510751,larch,,
42.29480756,-71.13516356,larch,,
42.29495184,-71.13483394,larch,,
42.29493449,-71.13489745,larch,,
42.294857,-71.13495894,larch,,
42.29483017,-71.13491746,larch,,
42.29526098,-71.12848263,pine,1917.55616438,China
42.29839836,-71.12399225,cedar,,
42.29619165,-71.12856706,larch,,
42.29451193,-71.12552482,mountain-ash,,Country Unknown
42.29515748,-71.12351047,oak,,
42.29708577,-71.1263966,hemlock,,
42.29420565,-71.12532381,hawthorn,,
42.30212023,-71.11724497,cherry,,
42.29229228,-71.12790376,oak,,United States
42.29709944,-71.12638173,hemlock,,
42.29908826,-71.12465225,,,
42.29896376,-71.12447669,hop-hornbeam,,
42.29962657,-71.11956981,hop-hornbeam,,
42.29706641,-71.12635235,hemlock,,
42.29432869,-71.12345391,oak,,
42.30574279,-71.11998548,cultivar,,
42.29963969,-71.12273934,,,China
42.29167326,-71.12673802,spruce,1971.49863014,United States
42.29647178,-71.12661089,hemlock,,
42.29665386,-71.12606277,hemlock,,
42.29678011,-71.12606942,hemlock,,
42.29705581,-71.126467,hemlock,,
42.29677993,-71.12601398,hemlock,,
42.30160112,-71.11706283,pine,,
42.29505034,-71.12384014,oak,,
42.29895922,-71.12469414,cypress,,
42.30219984,-71.12088355,maackia,1993.68767123,China
42.30166706,-71.11695222,pine,,
42.29401855,-71.12953466,,,
42.29523295,-71.12253689,spruce,1971.49863014,United States
42.30247149,-71.12433666,honeysuckle,,Russian Federation
42.30247908,-71.12434849,honeysuckle,,Russian Federation
42.30197352,-71.12570245,stewartia,1994.72054795,China
42.30254118,-71.12094351,maackia,1993.68767123,China
42.30408572,-71.12098391,,,United States
42.29659037,-71.12594856,hemlock,,
42.2989976,-71.12210927,stewartia,1917.87123288,"Korea, Republic of"
42.29890806,-71.12217813,stewartia,1917.87123288,"Korea, Republic of"
42.29374987,-71.12643333,chestnut,,United States
42.29639528,-71.12586839,hemlock,,
42.29160809,-71.12671853,spruce,1971.49863014,United States
42.30346693,-71.12280348,maple,1919.49863014,China
42.29646959,-71.12593449,hemlock,,
42.29703918,-71.12683756,hemlock,,
42.30368342,-71.1213831,,,
42.29515135,-71.1317567,maple,1999.00273973,Russian Federation
42.29441129,-71.12349384,poplar,,"Korea, Republic of"
42.29965807,-71.11960092,,,
42.29643958,-71.12599011,hemlock,,
42.30168544,-71.11765232,cherry,,
42.29629881,-71.1257359,hemlock,,
42.29652201,-71.12602289,hemlock,,
42.29626316,-71.1257435,hemlock,,
42.30154488,-71.11709136,pine,,
42.29645333,-71.12599742,hemlock,,
42.2963427,-71.12573194,hemlock,,
42.29639282,-71.12595712,hemlock,,
42.29897292,-71.12338922,oak,,United States
42.29631539,-71.12577276,hemlock,,
42.30332958,-71.11943067,maple,2004.73224044,Georgia
42.30147981,-71.11715969,pine,,
42.29629919,-71.12585418,hemlock,,
42.29771331,-71.12831765,fir,2004.76502732,Georgia
42.29505086,-71.12275248,oak,,
42.29632644,-71.12579488,hemlock,,
42.29816299,-71.12490211,yew,,
42.29717304,-71.1285695,larch,,Czechoslovakia
42.29648817,-71.12574217,hemlock,,
42.29490027,-71.12420154,pear,1919.49863014,Japan
42.2988434,-71.1245409,cypress,,
42.29631787,-71.12569143,hemlock,,
42.29887351,-71.12462178,cypress,,
42.29191229,-71.1281684,magnolia,,China
42.2963317,-71.12572461,hemlock,,
42.29633952,-71.1255989,hemlock,,
42.29190343,-71.12818843,magnolia,,China
42.30683069,-71.12170349,magnolia,,China
42.29628447,-71.12554747,hemlock,,
42.29282825,-71.12499533,magnolia,,China
42.30231305,-71.1171243,,,
42.30272776,-71.12111459,oak,,United States
42.29894498,-71.12201949,yew,1989.83561644,United States
42.30140009,-71.12582772,hickory,,United States
42.29323345,-71.12468603,fir,,
42.30368026,-71.12149337,chestnut,,United States
42.2925457,-71.12671098,oak,,United States
42.29250324,-71.12676873,oak,,United States
42.30633243,-71.12111592,magnolia,,
42.3005796,-71.1233232,spruce,1976.5,United States
42.30052241,-71.123397,spruce,1976.5,United States
42.30123211,-71.12532655,walnut,,
42.3029636,-71.12358651,cedar,,
42.29852366,-71.12354175,hornbeam,1914.80547945,Japan
42.29638109,-71.12572432,hemlock,,
