fracDate Collected,Collector,Kind
2005.72876712,"Aiello, A., Bachtell, K., Scanlon, M., Wang, K., Sun, X.",hornbeam
1993.70410959,"Jin, Tieshan, Liu, Jun, K. Bachtell, P. Bristol, P. Meyer",pine
,,hemlock
1908.5,"Wilson, E. H.",pear
,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",hemlock
,"Del Tredici, P.",maidenhair-tree
,"Del Tredici, P.",maidenhair-tree
,,hemlock
,,hemlock
,,hemlock
1911.49863014,"Wilson, E.H.",spruce
1992.5,,hemlock
1992.5,,hemlock
,,hemlock
,,hemlock
1993.00273973,,hemlock
2005.71780822,"Aiello, A., Bachtell, K., Scanlon, M., Wang, K., Sun, X.",
2008.7431694,"Bachtell, K.; Aiello, A.; Carley, C.; Wang.; Li",filbert
1993.00273973,,hemlock
1993.00273973,,hemlock
2002.70684932,"Bristol, P., Bordelon, C., Bachtell, K., Aiello, T.",birch
1908.5,"Wilson, E. H.",pear
1908.5,"Wilson, E. H.",pear
1909.49863014,"Wilson, E.H.",spruce
2008.73497268,"Bachtell, K.; Aiello, A.; Carley, C.; Wang K.; Li, J.; Li, B.; Genlu, B.",
,,pine
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
1911.49863014,"Wilson, E. H.",spruce
1911.49863014,"Wilson, E.H.",spruce
,"Hers, J.",zelkova
1996.76229508,"Lewandowski, R., et al.",song
1995.7890411,"Meyer, P. W.",song
2004.66939891,"Del Tredici, P. and Li, J.",
,"Bretschneider, Dr. E.",pear
,"Zhijun, Y., Hongdong, P.",stewartia
,"Bretschneider, Dr. E.",pear
,"Zhijun, Y., Hongdong, P.",stewartia
2008.74590164,"Bachtell, K.; Aiello, A.; Carley, C.; Wang.; Li",
,"Williams, E.T.",catalpa
1990.49863014,"Howick, McNamara",birch
1990.49863014,"Howick, McNamara",birch
,"Li, Yong",
2008.74590164,"Bachtell, K.; Aiello, A.; Carley, C.; Wang.; Li",
2008.74590164,"Bachtell, K.; Aiello, A.; Carley, C.; Wang.; Li",
1926.49863014,"Rock, Joseph F.",spruce
1997.71232877,NACPEC '97,yew
1997.71232877,NACPEC '97,yew
1910.49863014,"Wilson, E. H.",spruce
1910.49863014,"Wilson, E. H.",spruce
2005.7369863,"Aiello, A., Bachtell, K., Scanlon, M., Wang, K., Sun, X.",tree
2005.7369863,"Aiello, A., Bachtell, K., Scanlon, M., Wang, K., Sun, X.",hemlock
,,redwood
,"Williams, E.T.",catalpa
2004.66939891,"Del Tredici, P. and Li, J.",
2004.69945355,"Del Tredici, P. and Li, J.",
1996.76502732,,dogwood
,,mountain-ash
1997.67671233,NACPEC '97,pine
,"Li, Yong",
1997.67671233,NACPEC '97,
2004.67213115,"Del Tredici, P. and Li, J.",
,"Barnes, B.",
2000.74590164,"Johnson, E.",fir
,"Hers, J.",ash
1980.69125683,1980 S.A.B.E.,mountain-ash
1961.49863014,,pine
2004.66939891,"Del Tredici, P. and Li, J.",
1996.69672131,"Lewandowski, R., Conrad, K., Ault, J., Kim, K., Cui, T.",
1988.69398907,"Erskine, Fliegnar, Howick, and McNamara",tree
1997.68219178,NACPEC '97,ash
1997.68767123,NACPEC '97,maple
1997.68767123,NACPEC '97,cherry
,,magnolia
1997.69041096,NACPEC '97,
1997.69041096,NACPEC '97,
,"Cui, Tiecheng & Ma, Ya-Kang",hemlock
1997.67945205,NACPEC '97,linden
1997.67945205,NACPEC '97,maple
1997.67945205,NACPEC '97,maple
1997.67671233,NACPEC '97,pine
1997.68767123,NACPEC '97,cherry
1997.67945205,NACPEC '97,maple
2000.00273224,"Silba, J.",
1907.49863014,"Wilson, E. H.",maple
1997.67945205,NACPEC '97,maple
2004.69125683,"Del Tredici, P. and Li, J.",stewartia
1997.67945205,NACPEC '97,
2004.67486339,"Del Tredici, P. and Li, J.",maple
2004.67486339,"Del Tredici, P. and Li, J.",maple
1901.49863014,"Wilson, E. H.",maple
1997.68219178,NACPEC '97,ash
1997.68767123,NACPEC '97,maple
,,redwood
1997.70684932,NACPEC '97,maple
1997.68767123,NACPEC '97,maple
1997.68767123,NACPEC '97,maple
1908.5,"Wilson, E. H.",nashi
1939.71780822,"Skvortzov, B. V.",cherry
1997.69041096,NACPEC '97,birch
1926.00273973,"Rock, J.",spruce
2008.5,"Pettersson, H., SjÃ¶man, H., Zetterlund, H.",birch
2008.5,"Pettersson, H., Sj÷man, H., Zetterlund, H.",catalpa
1911.49863014,"Wilson, E.H.",spruce
1997.69041096,NACPEC '97,birch
1997.71232877,NACPEC '97,alder
2008.5,"Pettersson, H., Sj÷man, H., Zetterlund, H.",katsura
2001.67671233,,
2001.67671233,,
,,
2005.7369863,"Aiello, A., Bachtell, K., Scanlon, M., Wang, K., Sun, X.",katsura
2005.7369863,"Aiello, A., Bachtell, K., Scanlon, M., Wang, K., Sun, X.",katsura
1997.71506849,NACPEC '97,pine
,,honeylocust
1997.69315068,NACPEC '97,
2007.36712329,"Del Tredici, P.",maidenhair-tree
2007.36712329,"Del Tredici, P.",maidenhair-tree
1911.49863014,"Wilson, E. H.",spruce
1997.69315068,NACPEC '97,birch
1997.69315068,NACPEC '97,birch
1997.69315068,NACPEC '97,larch
,,
,,fir
1997.69315068,NACPEC '97,linden
,,pine
1997.70410959,NACPEC '97,pine
1911.49863014,"Wilson, E.H.",spruce
,,redwood
1997.70684932,NACPEC '97,maple
1997.69315068,NACPEC '97,
1980.72131148,SABE,stewartia
1911.49863014,"Wilson, E. H.",beech
1911.49863014,"Wilson, E. H.",beech
1997.70684932,NACPEC '97,maple
1997.70684932,NACPEC '97,maple
1911.49863014,"Wilson, E.H.",spruce
,,redwood
1997.70684932,NACPEC '97,linden
1997.70684932,NACPEC '97,maple
1994.70136986,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",ash
,,
,,dogwood
,,dogwood
1911.08767123,"Wilson, E.H.",spruce
1997.71506849,NACPEC '97,pine
1997.71506849,NACPEC '97,pine
1997.71506849,NACPEC '97,pine
,,ash
2008.5,"Pettersson, H., Sj÷man, H., Zetterlund, H.",catalpa
2008.5,"Pettersson, H., Sj÷man, H., Zetterlund, H.",catalpa
2002.7890411,"Montgomery, M.",hemlock
2002.7890411,"Montgomery, M.",hemlock
2002.7890411,"Montgomery, M.",hemlock
2002.7890411,"Montgomery, M.",hemlock
2002.7890411,"Montgomery, M.",hemlock
2002.7890411,"Montgomery, M.",hemlock
